id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4447909,Gemütliche Berliner Künstlerwohnung,23083049,Micol,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51106,13.46249,Entire home/apt,200,3,3,2019-11-11,0.05,1,138
4448981,Exclusive Penthouse in City Center,23042311,Maria,Mitte,Alexanderplatz,52.52308,13.38607,Entire home/apt,170,3,152,2019-10-29,2.57,7,264
4453432,MICRO LOFT in hippest BERLIN,12559165,Thomas,Pankow,Prenzlauer Berg Nordwest,52.54625,13.40892,Entire home/apt,75,10,32,2019-10-08,0.60,1,252
4454981,Apartment in center of Neukölln,3839741,Matilda,Neukölln,Reuterstraße,52.48205,13.4337,Private room,40,1,2,2019-10-01,0.09,1,0
4455768,delicious 3 room with roof terrace,23120950,Kim Kanyaa,Charlottenburg-Wilm.,Barstraße,52.4811,13.3121,Entire home/apt,64,1,153,2019-11-14,3.03,1,108
4460490,Spacious (120m²) typical old Berlin,22798878,Thomas,Mitte,Brunnenstr. Süd,52.53335,13.39732,Entire home/apt,69,3,0,,,2,0
4462848,2 room apartment,23155049,Brit,Charlottenburg-Wilm.,Kantstraße,52.50955,13.30981,Entire home/apt,58,3,190,2019-11-11,3.27,1,156
4463327,Super calm and central room near Ku'Damm,796576,Stefan,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49781,13.3357,Entire home/apt,53,3,20,2019-01-19,0.34,1,0
4463980,Sunny & Central. Charming Rooftop Flat.,23160623,Silk,Pankow,Prenzlauer Berg Süd,52.5327,13.43637,Entire home/apt,59,60,26,2019-08-31,0.43,1,331
4464546,BEAUTIFUL BEDROOM IN SHARED FLAT,23163618,Tim,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51751,13.46665,Private room,35,2,0,,,1,0
4464751,Top floor sunny flat in Neukölln,4280465,Claire,Neukölln,Rixdorf,52.48178,13.44268,Entire home/apt,38,16,21,2019-10-12,0.35,1,52
4465821,Cozy room near Hermannplatz,4856060,Imogen,Neukölln,Reuterstraße,52.48411,13.43005,Private room,26,4,7,2019-05-01,0.75,3,0
4465827,Charmer in heart of Neukölln!,4856060,Imogen,Neukölln,Reuterstraße,52.48564,13.42991,Private room,32,4,6,2019-04-29,0.10,3,0
4465998,New! Stylish Two-Room with Balcony,22926348,Sanna And Justin,Neukölln,Rixdorf,52.48106,13.43869,Entire home/apt,79,3,8,2016-11-28,0.13,1,42
4466355,Week-end in Berlin Mitte !,21948766,Ludmilla,Mitte,Brunnenstr. Süd,52.5369,13.39794,Entire home/apt,65,1,23,2016-05-07,0.38,1,0
4466694,#1 Location in Berlin-Center/ QUIET + MANY SIGHTS!,21781675,Jacob,Mitte,Alexanderplatz,52.52951,13.40038,Entire home/apt,118,90,48,2017-05-06,0.83,2,0
4467613,"Mitte Rooftop, Sunny Terrace - 01/Z/RA/ (Phone number hidden by Airbnb)",22755563,Emilie,Mitte,Brunnenstr. Süd,52.53423,13.39099,Entire home/apt,390,3,28,2019-08-01,0.46,1,312
4468054,Spacious room in Neukölln,20205918,Cieke,Neukölln,Schillerpromenade,52.47554,13.42291,Private room,39,3,25,2017-07-24,0.47,1,0
4469523,Stylische Wohnung zwischen Kudamm und Messe,5495775,Regina,Charlottenburg-Wilm.,Neue Kantstraße,52.50235,13.29986,Entire home/apt,99,1,47,2019-11-10,0.87,1,345
4470346,"Großes,freundliches und helles Zimmer.",12003008,Jürgen,Steglitz - Zehlendorf,Drakestr.,52.44953,13.30069,Private room,30,3,33,2018-03-07,1.05,1,0
